Episode,Final Cost,Shots Used,Time (s)
1,5205128.736430314,4608,3.2258694999618456
2,2483297.605932395,4608,1.9881946999812499
3,3247021.461440442,4608,1.3265172999817878
4,3353294.310235617,4608,1.6440084999776445
5,17535222.303424753,1664,0.2070660999743268
6,4072076.413835403,4608,1.9206124999909662
7,3454075.71481864,4608,1.1376914999564178
8,12595347.180000002,2432,0.34083190001547337
9,1801829.246425748,4608,2.1648139999597333
10,2735091.3099176837,4608,1.6791770000127144
11,2745640.043442134,4608,1.816566000052262
12,3216893.706252364,4608,1.7223793000448495
13,16655486.27304277,1664,0.1272105000098236
14,2795536.3843300715,4608,1.3837104000267573
15,2288465.8334103343,4608,1.6556701000081375
16,2362706.3869098024,4608,0.926588999980595
17,2704419.8943112567,4608,1.2063786999788135
18,3505573.286639802,4608,1.575450300006196
19,1238831.624234604,4608,1.1388049999950454
20,4991399.910043251,4608,1.392115399998147
21,18872110.135043144,1280,0.05532789998687804
22,1000000.0,128,0.0015298000071197748
23,3907763.0342729054,4608,1.0975232000346296
24,2823705.9043300715,4608,1.5241596999694593
25,2534798.791910026,4608,1.1865457000094466
26,3210763.3796695834,4608,0.8313121000537649
27,3291376.346443802,4608,1.7076847000280395
28,3245049.3144698874,4608,2.014974100049585
29,4176299.806753918,4608,1.938465500017628
30,19243806.5825717,1152,0.07565139996586367
31,3419265.2036870504,4608,1.1832030999939889
32,2800787.1035583513,4608,1.121737800014671
33,3277142.3758531627,4608,5.5249148000148125
34,2097587.806102696,4608,4.744912900030613
35,3018764.7666548155,4608,4.996231400000397
36,2438919.8747549728,4608,4.729483200004324
37,4031229.6514194743,4608,5.318897800054401
38,5067242.872719714,4224,5.34685630002059
39,2097074.3708961383,4608,4.660747099958826
40,3874580.678128993,4608,5.4843683000071906
41,16874972.07873168,1792,2.2103825000231154
42,3501455.9353757105,4608,7.103213099995628
43,2908383.2101036683,4608,7.068156499997713
44,23002000.300000004,256,0.18324679997749627
45,3487084.181273274,4608,7.129434600006789
46,2056869.9117806589,4608,8.443786200019531
47,2812361.4510138896,4608,7.759705600037705
48,10718731.83690502,3072,4.3188639000291005
49,3960289.4786747284,4608,7.606245799979661
50,2463163.4189625615,4608,6.955674099968746
51,1908823.4222677955,4608,7.575865400023758
52,2506929.1749221412,4608,7.220538199995644
53,2935170.951077221,4608,6.858240499976091
54,11208067.800736837,2816,4.205782699980773
55,2704564.66125099,4608,6.860752000007778
56,3903282.2469241703,4608,7.517914700030815
57,1126365.1640517043,4608,7.224033000005875
58,3865397.8654918107,4608,6.593519899994135
59,4180095.342001859,4608,7.195023600012064
60,17263535.660000004,1536,1.8421955000376329
61,18696042.26600888,1280,1.358186699973885
62,3153213.684982726,4608,4.2467876999871805
63,10839759.840441136,2944,1.7462658999720588
64,2553984.5522599285,4608,3.2283583999960683
65,3009166.7016692907,4608,3.237162299978081
66,3088847.232427097,4608,3.08861259999685
67,9966650.022538131,3200,2.184197700000368
68,2867828.104997142,4608,3.0866267000092193
69,2886106.1051286403,4608,3.283446700021159
70,19910839.45501744,1152,0.6054018999566324
71,2975983.276069463,4608,3.3371145999990404
72,2620632.585978947,4608,3.6802955000312068
73,2468455.1880523404,4608,3.087797000014689
74,2061447.1380698406,4608,3.150187699997332
75,2617633.1415884583,4608,3.1844762999680825
76,23002000.300000004,256,0.13825550000183284
77,3619291.2281016395,4608,3.2993847000179812
78,3036953.2091122298,4608,2.997468499990646
79,4656782.024056654,4608,3.176681099983398
80,2082103.2075367544,4608,3.296390200033784
81,2073015.70194816,4608,3.169087700021919
82,1506349.7624158124,4608,3.0913780000410043
83,15857981.460000003,1792,1.065281200048048
84,3641327.0227391985,4608,3.1251868000254035
85,3891553.4866517326,4608,2.898230299993884
86,3971981.708249993,4608,2.8771142000332475
87,1758186.1318762917,4608,2.848001900012605
88,2977899.9584184783,4608,2.858916800003499
89,2411207.443510752,4608,2.9021649999776855
90,2469910.120870438,4608,3.0295080000068992
91,21883304.23,512,0.23319960001390427
92,19307207.881678976,1152,0.5869187000207603
93,20792501.1,768,0.39531210000859573
94,3909894.1678501233,4608,2.7446342000039294
95,4035228.664931993,4608,2.9061786999809556
96,3449249.764651472,4608,2.954963099968154
97,2452289.222382581,4608,2.8871648000204004
98,2795977.3432095987,4608,2.733989800035488
99,3263537.099296562,4608,2.9258465000311844
100,5520521.484516388,4608,2.896606799971778
101,18179671.53394512,1536,0.7576907000038773
102,2819598.235288278,4608,2.983409099979326
103,2981588.9438066185,4608,2.7420367000158876
104,1928225.775887879,4608,2.8828559000394307
105,2640727.9769515707,4608,2.9672792999772355
106,8575128.486225348,3584,2.073623200005386
107,4876530.219188546,4608,2.8580075000063516
108,3690627.377957039,4608,2.8841933999792673
109,16509460.498381613,1792,0.9465801999904215
110,3719153.7253215103,4608,2.9542689000372775
111,2071340.8437224356,4608,2.677125900052488
112,4385949.12929513,4608,2.872286300000269
113,21340814.410000004,640,0.30986169999232516
114,2012022.4212079062,4608,2.9971235999837518
115,3089710.4007751374,4608,2.8987487999838777
116,2380433.6637303033,4608,2.7464725999743678
117,3196153.4771102015,4608,3.0088180999737233
118,3199374.072686815,4608,2.942166900029406
119,2062566.9744627413,4608,2.973459600005299
120,3389541.4822869445,4608,2.7727556999889202
121,8142971.948609361,3456,2.0965441000298597
122,23002000.300000004,256,0.10991880000801757
123,2955110.267831306,4608,2.7256569000310265
124,2275306.342745414,4608,2.958708700025454
125,3866828.8760347487,4608,2.8849752999958582
126,3719411.7176449383,4608,2.949526399956085
127,2339604.15923323,4608,2.7816973000299186
128,3487191.490106415,4608,2.889883700001519
129,16075672.195248328,1792,0.8956929999985732
130,1746886.635579579,4608,2.9230046999873593
131,2248999.839954,4608,3.04038830002537
132,2283433.4958529957,4608,2.7431809999980032
133,3173174.7195102824,4608,2.9932025999878533
134,2668923.4608768206,4608,2.985714500013273
135,2967201.129995767,4608,2.9152655000216328
136,2594828.10054282,4608,2.6827602999983355
137,3119110.686498,4608,2.986236699973233
138,3059577.0105475523,4608,3.02216180000687
139,3855267.517352371,4608,2.8284784000134096
140,3227449.026575417,4608,3.068898400000762
141,2400726.36727737,4608,2.970260399975814
142,21612129.666008882,640,0.2820085999555886
143,4970230.399312631,4352,2.5008893000194803
144,2331654.820778605,4608,2.9945550999836996
145,1938393.0478437399,4608,2.916653199994471
146,2707965.6576148393,4608,2.9424164000083692
147,14982722.357869443,2048,0.9977828999981284
148,3128834.4936967357,4608,2.9437664999859408
149,20097389.608852677,1024,0.657845499983523
150,2192547.303779602,4608,2.8528201999724843
151,2965231.632754597,4608,3.0120700999978
152,2272277.921136205,4608,4.091412499954458
153,9326560.80557958,3328,1.8817533000255935
154,2290799.0138401864,4608,2.8831731000100262
155,3040194.304086754,4608,3.1480089999968186
156,10610841.840918424,2944,1.6501691000303254
157,3916945.0517932586,4608,2.9379936999757774
158,1899412.0570003185,4608,2.6361069999984466
159,2603950.461329074,4608,3.0114646999863908
160,2136228.775807213,4608,2.8923588000470772
161,4775324.175436295,4480,2.619032199960202
162,14594056.263744721,2176,1.1390759000205435
163,2640640.9962448333,4608,2.9969200000050478
164,2271968.2454918097,4608,2.874273199995514
165,7536766.901807674,3968,2.2073668999946676
166,3554289.8386794613,4608,3.0904332000063732
167,12234327.507241054,2944,1.593079200014472
168,1735156.7080253237,4608,3.0915004999842495
169,2035814.5216158112,4608,3.0394435999915004
170,3344776.32310335,4480,2.8192694000317715
171,4198367.200904174,4608,2.7380990000092424
172,16716148.013042767,1792,0.9152078999904916
173,4514480.631801459,4608,3.0092949999962
174,2087389.9129649661,4608,2.9018674000399187
175,2184975.2047549733,4608,2.752329200040549
176,2873296.5802246695,4608,3.0130092999897897
177,2463824.653097135,4608,2.984295700036455
178,2417762.767767255,4608,2.8569195000454783
179,1986713.4903263515,4608,2.9853607999975793
180,2780916.28055867,4608,2.912394499988295
181,1467446.1122774286,4608,2.8408602999988943
182,3377543.4667981006,4608,3.2437530999886803
183,3279421.7005891544,4608,2.6938115999801084
184,1958060.257068769,4608,2.879553099977784
185,3179789.2062780648,4608,3.0654668000061065
186,14075302.69560968,2432,1.32567290001316
187,2162314.9462698638,4608,3.054739699990023
188,3416849.7873407016,4608,2.6798891999642365
189,2702408.1944640563,4608,2.977692999993451
190,3571612.74611398,4608,2.9459640000131913
191,2617701.8071026704,4608,2.705443499959074
192,19181039.313513838,1280,0.7852086999919266
193,19381821.73984412,1152,0.5832960000261664
194,12456578.09860281,3072,1.7596751000382937
