Episode,Final Cost,Shots Used,Time (s)
1,2347868.006412358,4608,5.867120299997623
2,1000000.0,4608,3.8240723999988404
3,1000000.0,4608,3.910154400000465
4,1000000.0,4608,4.508480300002702
5,1000000.0,4608,4.353660699998727
6,1000000.0,4608,3.9777517000002263
7,1813675.9119069993,4608,4.1456696999994165
8,1000000.0,4608,4.044552099996508
9,2231107.476798743,4608,3.959936299997935
10,1000000.0,4608,3.958028099998046
11,1000000.0,4608,3.9249159999999392
12,2010846.773252426,4608,3.8802537999981723
13,3266397.00454579,4608,3.9346954000029655
14,1000000.0,4608,3.6048510000000533
15,1000000.0,4608,4.166848099997878
16,3620218.56759569,4608,4.062266200002341
17,1000000.0,4608,4.085829600000579
18,1000000.0,4608,4.000828099997307
19,1517412.4955776115,4608,3.901308999997127
20,2310932.842048767,4608,3.5898968000001332
21,1235787.697788952,4608,3.873440399998799
22,1000000.0,4608,3.8834028000019316
23,4079343.755991289,4608,3.973280000001978
24,1000000.0,4608,3.9854290000002948
25,1000000.0,4608,3.5992717999979504
26,1444589.6412157053,4608,3.861417200001597
27,3205130.3008532594,4608,3.8681771000010485
28,1564391.3802166209,4608,4.3165117999997165
29,1000000.0,4608,5.388385499998549
30,1047849.973301225,4608,5.343798199999583
31,3428027.8752186294,4608,5.299988099999609
32,1000000.0,4608,5.0222314999991795
33,1000000.0,4608,5.364510100000189
34,3660745.788678671,4608,5.301255599999422
35,1000000.0,4608,5.22786300000007
36,1337532.8089127815,4608,5.341751799998747
37,2103040.0347909327,4608,5.305327099998976
38,1000000.0,4608,5.395344799999293
39,2244096.5458734664,4608,5.4035633000021335
40,1000000.0,4608,5.48506190000262
41,1230168.239184526,4608,5.386876399999892
42,1000000.0,4608,5.410877899998013
43,4161320.7626573457,4608,5.431994700000359
44,1000000.0,4608,5.418202000000747
45,1310116.3003264992,4608,5.959665099999256
46,2733244.666606535,4608,5.466776699999173
47,1000000.0,4608,5.431393999999273
48,1689369.2205145746,4608,5.347786300000735
49,1000000.0,4608,5.4047088000006624
50,1221796.3256516086,4608,5.276557500001218
51,1995873.0622759648,4608,5.307669199999509
52,1059539.713521299,4608,5.303712199998699
53,1000000.0,4608,5.545685099998082
54,1321684.0798072899,4608,5.289150500000687
55,2520607.8702676804,4608,5.289736799997627
56,1000000.0,4608,5.353127300000779
57,4148143.149367777,4608,5.296087299997453
58,2162755.947706477,4608,5.422519599997031
59,1000000.0,4608,5.323958800003311
60,1435051.8164010174,4608,5.61399579999852
61,4541266.1634205915,4608,5.228550200001337
62,1000000.0,4608,5.2908743000007235
63,1000000.0,4608,5.283302499999991
64,1314491.8682135576,4608,5.3974878000008175
65,2347572.805201116,4608,5.2584118000013405
66,1000000.0,4608,5.530238499999541
67,3689249.1921020374,4608,5.322835800001485
68,1432956.1627936128,4608,5.281945700000506
69,1000000.0,4608,5.254975599997124
70,1000000.0,4608,5.288751500000217
71,1000000.0,4608,5.246908599998278
72,2147135.143382704,4608,5.561913500001538
73,5639743.641840561,4608,5.303461100000277
74,1872322.3000798062,4608,5.273841500002163
75,1524327.3744359287,4608,5.300115000001824
76,1334625.1571533976,4608,5.241633499997988
77,1883998.0710716555,4608,5.355343400002312
78,1149618.135210463,4608,5.293662799998856
79,2376593.1645260444,4608,5.5806019000010565
80,1000000.0,4608,5.300115199999709
81,1000000.0,4608,5.281309699999838
82,3182544.971818463,4608,5.358899599999859
83,3401242.8476356654,4608,5.232408100000612
84,3552733.7098962488,4608,5.22782720000032
85,1000000.0,4608,5.547464800001762
86,1922248.8257230616,4608,5.276079300001584
87,6148738.998225737,4608,5.191574899999978
88,1000000.0,4608,5.323159299998224
89,1950214.526740627,4608,5.353397499999119
90,2556904.5444789426,4608,5.37382499999876
91,1377783.7846315796,4608,5.545745200000965
92,2224122.989888572,4608,5.321923799998331
93,2777623.7734950264,4608,5.359333500000503
94,2349108.642999061,4608,5.339443399996526
95,1769111.602207171,4608,5.313322199999675
96,2527219.8372386666,4608,5.2773433000002115
97,1000000.0,4608,5.520195000000967
98,1000000.0,4608,5.333968900002219
99,1000000.0,4608,5.232179399998131
100,1000000.0,4608,5.296967999998742
101,4145573.498181645,4608,5.236670900001627
102,1957063.4795555123,4608,5.26602709999861
103,1000000.0,4608,5.581043700000009
104,4878386.788396386,4608,5.233602500000416
105,1634382.674351178,4608,5.3090157000006
106,1000000.0,4608,5.252454400000715
107,1242801.6606196433,4608,5.333936399998493
108,2291251.533254126,4608,5.283587699999771
109,2654299.782790606,4608,5.554512899998372
110,4428526.675988309,4608,5.259139199999481
111,2399735.269186709,4608,5.564046899999084
112,2517652.1103317663,4608,5.7415763000026345
113,2428753.6787227653,4608,5.443027299999812
114,1000000.0,4608,5.306201300001703
115,2400592.1681213602,4608,6.102705299999798
116,1000000.0,4608,5.952583599999343
117,2145422.570448849,4608,5.510065000002214
118,2393817.833293504,4608,5.428166099998634
119,7492355.999586129,4608,5.597917299997789
120,1651125.4383500055,4608,5.393026699999609
121,1000000.0,4608,5.591199099999358
122,1263209.3010056089,4608,5.93792250000115
123,3812825.35625271,4608,5.676734900000156
124,1000000.0,4608,5.6811239999988175
125,6069334.954811916,4608,5.490689400001429
126,3049960.741894789,4608,5.292479600000661
127,3437218.9849135703,4608,5.287983599999279
128,1000000.0,4608,5.569494500003202
129,1000000.0,4608,5.311864299997978
130,1759198.949436828,4608,5.314054300000862
131,3081268.4345475663,4608,5.2804982000016025
132,1000000.0,4608,5.2926102000019455
133,1487323.015392538,4608,5.543495199999597
134,1000000.0,4608,5.651156200001424
135,5028345.80144298,4608,5.352358500000264
136,1000000.0,4608,5.275673000000097
137,3778239.390387058,4608,5.355240100001538
138,2548252.3784828517,4608,5.346419000001333
139,2734931.1644543866,4608,5.316407500002242
140,1000000.0,4608,5.341772599997057
141,1000000.0,4608,5.559088800000609
142,1048035.8695190789,4608,5.380075599998236
143,1000000.0,4608,5.514158799996949
