Episode,Final Cost,Shots Used,Time (s)
1,2455496.1395354606,4608,8.316962100099772
2,3519134.62849932,4608,6.138617099961266
3,6369187.606103451,4608,6.315288099925965
4,1000000.0,4608,6.072671000030823
5,1000000.0,4608,6.1837827999843284
6,3261487.115653008,4608,6.124979499960318
7,1278345.6643910122,4608,6.220436300034635
8,1000000.0,4608,6.242384999990463
9,1000000.0,4608,6.224586399970576
10,3108042.484747262,4608,6.343114200048149
11,1675712.8249206706,4608,6.0238123999442905
12,1862070.3035902116,4608,6.21362090006005
13,4454801.158225284,4608,5.95442439999897
14,1000000.0,4608,6.144342499901541
15,1594567.603292926,4608,6.28285960003268
16,1000000.0,4608,6.243402000050992
17,2875583.255720514,4608,6.098561700084247
18,1000000.0,4608,6.117923300014809
19,1585562.311888274,4608,6.361924800090492
20,1000000.0,4608,5.850056599942036
21,1000000.0,4608,6.140441499999724
22,1913902.890684847,4608,6.296688899979927
23,2471629.128952667,4608,6.882748199976049
24,1000000.0,4608,6.836106700007804
25,2703295.6410687873,4608,6.678480300004594
26,6907773.866144474,4608,6.762352299992926
27,1087444.377153368,4608,6.763314499985427
28,1000000.0,4608,7.081160199944861
29,1000000.0,4608,9.387360400054604
30,1751468.395056623,4608,9.177563400007784
31,1000000.0,4608,9.267608899972402
32,1000000.0,4608,9.25603940000292
33,1000000.0,4608,9.60481669998262
34,1000000.0,4608,9.336226999992505
35,1368635.4457002925,4608,9.474488299922086
36,3829575.300375347,4608,9.327182400040329
37,1546341.539323119,4608,9.564680699957535
38,1000000.0,4608,9.238285099971108
39,1000000.0,4608,9.506041400018148
40,1769123.2023600843,4608,9.582075399928726
41,1000000.0,4608,9.413879200001247
42,1685538.9596363874,4608,9.39361380005721
43,1257008.5295430762,4608,9.742930199950933
44,1000000.0,4608,9.319481199956499
45,2704467.3815166224,4608,9.22888279997278
46,3857720.227473819,4608,9.243090800009668
47,1000000.0,4608,9.736460500047542
48,1518227.0680274141,4608,9.385197900002822
49,1000000.0,4608,9.2312439000234
50,1820041.2109219232,4608,9.147456699982285
51,1000000.0,4608,9.649477800005116
52,1227071.3845454266,4608,9.150322500034235
53,1000000.0,4608,9.764581699972041
54,1000000.0,4608,9.431576499948278
55,1000000.0,4608,9.646576800034381
56,4577736.053586203,4608,9.183827799977735
57,1000000.0,4608,9.225984700024128
58,1725209.6744208792,4608,9.338450699928217
59,1000000.0,4608,9.677816099952906
60,1000000.0,4608,9.54690750001464
61,1000000.0,4608,9.36668340000324
62,2083648.3205544918,4608,9.261651400011033
63,1000000.0,4608,9.674730599974282
64,1173165.3366184619,4608,9.333844400011003
65,1000000.0,4608,9.205726699903607
66,1240071.5118652734,4608,10.24743990006391
67,1000000.0,4608,9.553250099997967
68,1000000.0,4608,9.312620300101116
69,3712472.4901618883,4608,11.321074900100939
70,1617373.8678119625,4608,10.217283400008455
71,3840832.101169235,4608,9.257453899946995
72,1058541.8200236273,4608,9.233201900031418
73,2123621.42384296,4608,9.447958700009622
74,2571233.123307786,4608,9.684126899926923
75,1000000.0,4608,9.290217699948698
76,1000000.0,4608,9.316084600053728
77,4339013.753348213,4608,9.724646699964069
78,1738804.437243849,4608,9.108102099969983
79,1000000.0,4608,9.27937749994453
80,1000000.0,4608,9.276568499975838
81,2182529.9579411056,4608,9.670158700086176
